YEAR,MONTH,TYPE,Incident_Count
1999,1,Break and Enter Commercial,303
1999,1,Break and Enter Residential/Other,644
1999,1,Mischief,551
1999,1,Offence Against a Person,338
1999,1,Other Theft,247
1999,1,Theft from Vehicle,1438
1999,1,Theft of Bicycle,96
1999,1,Theft of Vehicle,640
1999,1,Vehicle Collision or Pedestrian Struck (with Injury),139
1999,2,Break and Enter Commercial,254
1999,2,Break and Enter Residential/Other,507
1999,2,Mischief,484
1999,2,Offence Against a Person,280
1999,2,Other Theft,219
1999,2,Theft from Vehicle,1102
1999,2,Theft of Bicycle,71
1999,2,Theft of Vehicle,528
1999,2,Vehicle Collision or Pedestrian Struck (with Injury),103
1999,3,Break and Enter Commercial,292
1999,3,Break and Enter Residential/Other,515
1999,3,Mischief,575
1999,3,Offence Against a Person,315
1999,3,Other Theft,208
1999,3,Theft from Vehicle,1251
1999,3,Theft of Bicycle,76
1999,3,Theft of Vehicle,569
1999,3,Vehicle Collision or Pedestrian Struck (with Injury),127
1999,4,Break and Enter Commercial,266
1999,4,Break and Enter Residential/Other,608
1999,4,Mischief,621
1999,4,Offence Against a Person,240
1999,4,Other Theft,235
1999,4,Theft from Vehicle,1528
1999,4,Theft of Bicycle,97
1999,4,Theft of Vehicle,476
1999,4,Vehicle Collision or Pedestrian Struck (with Injury),141
1999,5,Break and Enter Commercial,291
1999,5,Break and Enter Residential/Other,565
1999,5,Mischief,590
1999,5,Offence Against a Person,290
1999,5,Other Theft,223
1999,5,Theft from Vehicle,1873
1999,5,Theft of Bicycle,114
1999,5,Theft of Vehicle,541
1999,5,Vehicle Collision or Pedestrian Struck (with Injury),158
1999,6,Break and Enter Commercial,306
1999,6,Break and Enter Residential/Other,531
1999,6,Mischief,570
1999,6,Offence Against a Person,311
1999,6,Other Theft,211
1999,6,Theft from Vehicle,1695
1999,6,Theft of Bicycle,154
1999,6,Theft of Vehicle,564
1999,6,Vehicle Collision or Pedestrian Struck (with Injury),146
1999,7,Break and Enter Commercial,252
1999,7,Break and Enter Residential/Other,535
1999,7,Mischief,555
1999,7,Offence Against a Person,277
1999,7,Other Theft,207
1999,7,Theft from Vehicle,1444
1999,7,Theft of Bicycle,191
1999,7,Theft of Vehicle,487
1999,7,Vehicle Collision or Pedestrian Struck (with Injury),148
1999,8,Break and Enter Commercial,241
1999,8,Break and Enter Residential/Other,502
1999,8,Mischief,508
1999,8,Offence Against a Person,299
1999,8,Other Theft,226
1999,8,Theft from Vehicle,1634
1999,8,Theft of Bicycle,192
1999,8,Theft of Vehicle,505
1999,8,Vehicle Collision or Pedestrian Struck (with Injury),169
1999,9,Break and Enter Commercial,209
1999,9,Break and Enter Residential/Other,631
1999,9,Mischief,475
1999,9,Offence Against a Person,266
1999,9,Other Theft,163
1999,9,Theft from Vehicle,1470
1999,9,Theft of Bicycle,158
1999,9,Theft of Vehicle,441
1999,9,Vehicle Collision or Pedestrian Struck (with Injury),156
1999,10,Break and Enter Commercial,306
1999,10,Break and Enter Residential/Other,642
1999,10,Mischief,570
1999,10,Offence Against a Person,315
1999,10,Other Theft,220
1999,10,Theft from Vehicle,1554
1999,10,Theft of Bicycle,144
1999,10,Theft of Vehicle,541
1999,10,Vehicle Collision or Pedestrian Struck (with Injury),198
1999,11,Break and Enter Commercial,263
1999,11,Break and Enter Residential/Other,615
1999,11,Mischief,465
1999,11,Offence Against a Person,291
1999,11,Other Theft,202
1999,11,Theft from Vehicle,1332
1999,11,Theft of Bicycle,74
1999,11,Theft of Vehicle,512
1999,11,Vehicle Collision or Pedestrian Struck (with Injury),160
1999,12,Break and Enter Commercial,214
1999,12,Break and Enter Residential/Other,588
1999,12,Mischief,427
1999,12,Offence Against a Person,285
1999,12,Other Theft,221
1999,12,Theft from Vehicle,1423
1999,12,Theft of Bicycle,51
1999,12,Theft of Vehicle,557
1999,12,Vehicle Collision or Pedestrian Struck (with Injury),158
2000,1,Break and Enter Commercial,216
2000,1,Break and Enter Residential/Other,584
2000,1,Mischief,450
2000,1,Offence Against a Person,326
2000,1,Other Theft,238
2000,1,Theft from Vehicle,1320
2000,1,Theft of Bicycle,42
2000,1,Theft of Vehicle,458
2000,1,Vehicle Collision or Pedestrian Struck (with Injury),131
2000,2,Break and Enter Commercial,256
2000,2,Break and Enter Residential/Other,524
2000,2,Mischief,401
2000,2,Offence Against a Person,282
2000,2,Other Theft,283
2000,2,Theft from Vehicle,1276
2000,2,Theft of Bicycle,57
2000,2,Theft of Vehicle,493
2000,2,Vehicle Collision or Pedestrian Struck (with Injury),121
2000,3,Break and Enter Commercial,275
2000,3,Break and Enter Residential/Other,542
2000,3,Mischief,426
2000,3,Offence Against a Person,347
2000,3,Other Theft,282
2000,3,Theft from Vehicle,1524
2000,3,Theft of Bicycle,100
2000,3,Theft of Vehicle,604
2000,3,Vehicle Collision or Pedestrian Struck (with Injury),151
2000,4,Break and Enter Commercial,289
2000,4,Break and Enter Residential/Other,553
2000,4,Mischief,462
2000,4,Offence Against a Person,310
2000,4,Other Theft,269
2000,4,Theft from Vehicle,1559
2000,4,Theft of Bicycle,93
2000,4,Theft of Vehicle,464
2000,4,Vehicle Collision or Pedestrian Struck (with Injury),114
2000,5,Break and Enter Commercial,254
2000,5,Break and Enter Residential/Other,559
2000,5,Mischief,480
2000,5,Offence Against a Person,274
2000,5,Other Theft,215
2000,5,Theft from Vehicle,1494
2000,5,Theft of Bicycle,109
2000,5,Theft of Vehicle,488
2000,5,Vehicle Collision or Pedestrian Struck (with Injury),160
2000,6,Break and Enter Commercial,258
2000,6,Break and Enter Residential/Other,516
2000,6,Mischief,491
2000,6,Offence Against a Person,311
2000,6,Other Theft,207
2000,6,Theft from Vehicle,1335
2000,6,Theft of Bicycle,124
2000,6,Theft of Vehicle,471
2000,6,Vehicle Collision or Pedestrian Struck (with Injury),147
2000,7,Break and Enter Commercial,237
2000,7,Break and Enter Residential/Other,435
2000,7,Mischief,494
2000,7,Offence Against a Person,309
2000,7,Other Theft,172
2000,7,Theft from Vehicle,1426
2000,7,Theft of Bicycle,198
2000,7,Theft of Vehicle,516
2000,7,Vehicle Collision or Pedestrian Struck (with Injury),155
2000,8,Break and Enter Commercial,266
2000,8,Break and Enter Residential/Other,517
2000,8,Mischief,490
2000,8,Offence Against a Person,368
2000,8,Other Theft,208
2000,8,Theft from Vehicle,1678
2000,8,Theft of Bicycle,155
2000,8,Theft of Vehicle,514
2000,8,Vehicle Collision or Pedestrian Struck (with Injury),173
2000,9,Break and Enter Commercial,378
2000,9,Break and Enter Residential/Other,563
2000,9,Mischief,507
2000,9,Offence Against a Person,337
2000,9,Other Theft,169
2000,9,Theft from Vehicle,1744
2000,9,Theft of Bicycle,130
2000,9,Theft of Vehicle,549
2000,9,Vehicle Collision or Pedestrian Struck (with Injury),162
2000,10,Break and Enter Commercial,318
2000,10,Break and Enter Residential/Other,612
2000,10,Mischief,492
2000,10,Offence Against a Person,301
2000,10,Other Theft,180
2000,10,Theft from Vehicle,1648
2000,10,Theft of Bicycle,107
2000,10,Theft of Vehicle,617
2000,10,Vehicle Collision or Pedestrian Struck (with Injury),202
2000,11,Break and Enter Commercial,271
2000,11,Break and Enter Residential/Other,580
2000,11,Mischief,454
2000,11,Offence Against a Person,332
2000,11,Other Theft,187
2000,11,Theft from Vehicle,1688
2000,11,Theft of Bicycle,71
2000,11,Theft of Vehicle,455
2000,11,Vehicle Collision or Pedestrian Struck (with Injury),178
2000,12,Break and Enter Commercial,265
2000,12,Break and Enter Residential/Other,553
2000,12,Mischief,454
2000,12,Offence Against a Person,307
2000,12,Other Theft,195
2000,12,Theft from Vehicle,1512
2000,12,Theft of Bicycle,44
2000,12,Theft of Vehicle,473
2000,12,Vehicle Collision or Pedestrian Struck (with Injury),174
2001,1,Break and Enter Commercial,193
2001,1,Break and Enter Residential/Other,554
2001,1,Mischief,375
2001,1,Offence Against a Person,305
2001,1,Other Theft,235
2001,1,Theft from Vehicle,1516
2001,1,Theft of Bicycle,51
2001,1,Theft of Vehicle,510
2001,1,Vehicle Collision or Pedestrian Struck (with Injury),108
2001,2,Break and Enter Commercial,211
2001,2,Break and Enter Residential/Other,430
2001,2,Mischief,360
2001,2,Offence Against a Person,272
2001,2,Other Theft,235
2001,2,Theft from Vehicle,1305
2001,2,Theft of Bicycle,53
2001,2,Theft of Vehicle,420
2001,2,Vehicle Collision or Pedestrian Struck (with Injury),135
2001,3,Break and Enter Commercial,204
2001,3,Break and Enter Residential/Other,491
2001,3,Mischief,475
2001,3,Offence Against a Person,298
2001,3,Other Theft,241
2001,3,Theft from Vehicle,1409
2001,3,Theft of Bicycle,83
2001,3,Theft of Vehicle,470
2001,3,Vehicle Collision or Pedestrian Struck (with Injury),163
2001,4,Break and Enter Commercial,154
2001,4,Break and Enter Residential/Other,469
2001,4,Mischief,444
2001,4,Offence Against a Person,280
2001,4,Other Theft,212
2001,4,Theft from Vehicle,1564
2001,4,Theft of Bicycle,75
2001,4,Theft of Vehicle,459
2001,4,Vehicle Collision or Pedestrian Struck (with Injury),142
2001,5,Break and Enter Commercial,201
2001,5,Break and Enter Residential/Other,524
2001,5,Mischief,477
2001,5,Offence Against a Person,313
2001,5,Other Theft,185
2001,5,Theft from Vehicle,1529
2001,5,Theft of Bicycle,133
2001,5,Theft of Vehicle,402
2001,5,Vehicle Collision or Pedestrian Struck (with Injury),181
2001,6,Break and Enter Commercial,227
2001,6,Break and Enter Residential/Other,483
2001,6,Mischief,425
2001,6,Offence Against a Person,292
2001,6,Other Theft,175
2001,6,Theft from Vehicle,1426
2001,6,Theft of Bicycle,153
2001,6,Theft of Vehicle,402
2001,6,Vehicle Collision or Pedestrian Struck (with Injury),161
2001,7,Break and Enter Commercial,249
2001,7,Break and Enter Residential/Other,430
2001,7,Mischief,420
2001,7,Offence Against a Person,328
2001,7,Other Theft,195
2001,7,Theft from Vehicle,1323
2001,7,Theft of Bicycle,162
2001,7,Theft of Vehicle,415
2001,7,Vehicle Collision or Pedestrian Struck (with Injury),160
2001,8,Break and Enter Commercial,221
2001,8,Break and Enter Residential/Other,429
2001,8,Mischief,416
2001,8,Offence Against a Person,356
2001,8,Other Theft,203
2001,8,Theft from Vehicle,1362
2001,8,Theft of Bicycle,197
2001,8,Theft of Vehicle,483
2001,8,Vehicle Collision or Pedestrian Struck (with Injury),187
2001,9,Break and Enter Commercial,219
2001,9,Break and Enter Residential/Other,455
2001,9,Mischief,378
2001,9,Offence Against a Person,344
2001,9,Other Theft,243
2001,9,Theft from Vehicle,1316
2001,9,Theft of Bicycle,180
2001,9,Theft of Vehicle,377
2001,9,Vehicle Collision or Pedestrian Struck (with Injury),175
2001,10,Break and Enter Commercial,249
2001,10,Break and Enter Residential/Other,476
2001,10,Mischief,456
2001,10,Offence Against a Person,321
2001,10,Other Theft,231
2001,10,Theft from Vehicle,1261
2001,10,Theft of Bicycle,159
2001,10,Theft of Vehicle,354
2001,10,Vehicle Collision or Pedestrian Struck (with Injury),182
2001,11,Break and Enter Commercial,276
2001,11,Break and Enter Residential/Other,406
2001,11,Mischief,366
2001,11,Offence Against a Person,334
2001,11,Other Theft,217
2001,11,Theft from Vehicle,1271
2001,11,Theft of Bicycle,106
2001,11,Theft of Vehicle,392
2001,11,Vehicle Collision or Pedestrian Struck (with Injury),179
2001,12,Break and Enter Commercial,235
2001,12,Break and Enter Residential/Other,395
2001,12,Mischief,470
2001,12,Offence Against a Person,328
2001,12,Other Theft,239
2001,12,Theft from Vehicle,1272
2001,12,Theft of Bicycle,64
2001,12,Theft of Vehicle,347
2001,12,Vehicle Collision or Pedestrian Struck (with Injury),211
2002,1,Break and Enter Commercial,277
2002,1,Break and Enter Residential/Other,482
2002,1,Mischief,443
2002,1,Offence Against a Person,380
2002,1,Other Theft,259
2002,1,Theft from Vehicle,1492
2002,1,Theft of Bicycle,66
2002,1,Theft of Vehicle,364
2002,1,Vehicle Collision or Pedestrian Struck (with Injury),147
2002,2,Break and Enter Commercial,209
2002,2,Break and Enter Residential/Other,400
2002,2,Mischief,386
2002,2,Offence Against a Person,332
2002,2,Other Theft,292
2002,2,Theft from Vehicle,1125
2002,2,Theft of Bicycle,82
2002,2,Theft of Vehicle,334
2002,2,Vehicle Collision or Pedestrian Struck (with Injury),100
2002,3,Break and Enter Commercial,241
2002,3,Break and Enter Residential/Other,466
2002,3,Mischief,457
2002,3,Offence Against a Person,358
2002,3,Other Theft,310
2002,3,Theft from Vehicle,1326
2002,3,Theft of Bicycle,93
2002,3,Theft of Vehicle,319
2002,3,Vehicle Collision or Pedestrian Struck (with Injury),114
2002,4,Break and Enter Commercial,241
2002,4,Break and Enter Residential/Other,391
2002,4,Mischief,423
2002,4,Offence Against a Person,350
2002,4,Other Theft,224
2002,4,Theft from Vehicle,1007
2002,4,Theft of Bicycle,79
2002,4,Theft of Vehicle,312
