NEIGHBOURHOOD,Incident_Count,Latitude,Longitude
Central Business District,96171,49.28099056250845,-123.11618157974858
West End,36954,49.28528129236267,-123.13233853200735
Fairview,29377,49.263979728065834,-123.12986144056916
Mount Pleasant,26879,49.263283346562,-123.0991627658209
Grandview-Woodland,24333,49.2750905117614,-123.06736472993053
Kitsilano,24118,49.26661740533211,-123.16103835399703
Renfrew-Collingwood,24092,49.245948563102274,-123.0384444466545
Kensington-Cedar Cottage,22708,49.248664894896955,-123.07254301697199
Strathcona,18281,49.27895918729884,-123.09211947894536
Hastings-Sunrise,16378,49.27602547912138,-123.04259516723043
Sunset,15991,49.22005712304483,-123.09229050921769
Marpole,11836,49.20995329022474,-123.13020163149713
Riley Park,11164,49.24747531322733,-123.10298979492117
Victoria-Fraserview,9883,49.22138233282607,-123.06514211162603
Killarney,9657,49.220616992891166,-123.03683711747955
Oakridge,7221,49.22892683184739,-123.12162704402438
Dunbar-Southlands,7106,49.24471440779341,-123.18465128184633
Kerrisdale,6766,49.228084773074194,-123.15970461464676
Arbutus Ridge,5431,49.244812564643716,-123.16046835223716
West Point Grey,5262,49.26515166494109,-123.20015456201064
Shaughnessy,4773,49.246022739457366,-123.13914101766184
South Cambie,4658,49.24767407063976,-123.12107320057966
Stanley Park,3532,49.30069502585221,-123.13620239161948
Musqueam,503,49.230002540616304,-123.19733455964216
